Base Clean Accuracy, Base PGD Accuracy, DDS PGD Accuracy, Sigma, Epsilon
84.6,84.3,84.3,0.0,0.0
84.6,84.3,55.3,0.25,0.0
84.6,84.3,35.0,0.5,0.0
84.6,84.3,17.6,1.0,0.0
84.6,84.3,13.7,1.5,0.0
84.6,84.3,10.7,3.0,0.0
84.6,0.0,0.0,0.0,0.1
84.6,0.0,23.2,0.25,0.1
84.6,0.0,25.9,0.5,0.1
84.6,0.0,17.1,1.0,0.1
84.6,0.0,14.1,1.5,0.1
84.6,0.0,10.7,3.0,0.1
84.6,0.0,0.0,0.0,0.02
84.6,0.0,34.4,0.25,0.02
84.6,0.0,26.7,0.5,0.02
84.6,0.0,16.7,1.0,0.02
84.6,0.0,14.5,1.5,0.02
84.6,0.0,10.8,3.0,0.02
84.6,0.0,0.0,0.0,0.04
84.6,0.0,24.1,0.25,0.04
84.6,0.0,24.9,0.5,0.04
84.6,0.0,18.7,1.0,0.04
84.6,0.0,13.9,1.5,0.04
84.6,0.0,10.8,3.0,0.04
84.6,0.0,0.0,0.0,0.05
84.6,0.0,23.7,0.25,0.05
84.6,0.0,25.4,0.5,0.05
84.6,0.0,16.2,1.0,0.05
84.6,0.0,13.7,1.5,0.05
84.6,0.0,11.1,3.0,0.05
84.6,6.6,14.5,0.0,0.005
84.6,6.6,51.1,0.25,0.005
84.6,6.6,29.6,0.5,0.005
84.6,6.6,18.0,1.0,0.005
84.6,6.6,14.5,1.5,0.005
84.6,6.6,11.3,3.0,0.005
